relative_path,parent_directory,name,suffix,size_bytes,sha256,is_text,detected_encoding,printable_ratio,line_count,categories,uft_markers,object_reference_markers,parameter_markers,control_flow_markers,function_or_sub_markers,error
ProjRep/000/000/000/001/643,ProjRep/000/000/000/001,643,,5840,7c6117b1279584407fdda973040cae4a4083ef59d0981f618b3cab3ca9621e67,True,utf-8-sig,1.0000,116,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit; Reporter.ReportEvent,,,If ; Then; Else; End If; For ; Do ,Function ; End Function,
ProjRep/000/000/000/001/644,ProjRep/000/000/000/001,644,,2832,6c2ae0861dd0bda959f2b679cdf8e23a961d7650455468cd368b3a47beb2d852,True,utf-8-sig,1.0000,64,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit; Reporter.ReportEvent,,,If ; Then; Else; End If; For ; Do ,Function ; End Function,
ProjRep/000/000/000/001/645,ProjRep/000/000/000/001,645,,75168,97e3d9be6ddf21652b0aefa18bc81af6359d9001ac4f8a7fa4d46395bdfead13,True,utf-8-sig,1.0000,1753,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Window(,,,If ; Then; Else; End If; For ; Next; Do ; Loop; While ; Wend,Function ; End Function; Sub ; End Sub,
ProjRep/000/000/000/001/647,ProjRep/000/000/000/001,647,,640,b3854266645ad9f0733fe12b2e513113b372449e5a4558569432d2fd9039ed2d,True,utf-8-sig,1.0000,11,text; xml_candidate,,,,,,
ProjRep/000/000/000/001/652,ProjRep/000/000/000/001,652,,6563,753d0bdfec65f2257e244b5aa15da2eeb0b1bde18154ab0c855f18dcd186d01a,True,utf-8-sig,1.0000,119,text; uft_script_candidate; contains_control_flow; contains_function_or_sub,Option Explicit,,,Then; For ; Do ,Function ; End Function,
ProjRep/000/000/000/001/653,ProjRep/000/000/000/001,653,,297012,f701b0cbdf89ed6b4542c002e59040e4c10c7a8817d3b899f4bc9e06b3c8f032,True,utf-8-sig,1.0000,5706,text; uft_script_candidate; contains_object_references; contains_parameter_references; xml_candidate,Browser(,WebEdit(; WebList(; WebRadioGroup(; Page(; Browser(,DataTable(,,,
ProjRep/000/000/000/001/654,ProjRep/000/000/000/001,654,,672,6b902d24f8944def6568cc5d6463e670d0768c8f8a4f99d0efa8cdea3d43f485,True,utf-16,1.0000,12,text,,,,,,
ProjRep/000/000/000/001/655,ProjRep/000/000/000/001,655,,10752,8c55c883609ab7d387a3e29e591ba362974932d9b60268871d9a5fed9fa67f7d,False,,,,binary,,,,,,
ProjRep/000/000/000/001/656,ProjRep/000/000/000/001,656,,115688,bdf9190d25cee3de1ee187cdaf2d86019d4b389d612db959579f220c0912618d,True,utf-8-sig,1.0000,2522,text; xml_candidate,,,,,,
ProjRep/000/000/000/001/657,ProjRep/000/000/000/001,657,,628,6987d1f7a5d24a97256fd1a094fdd2149f2ebc048ae2c1fed972a8896e50cb07,True,utf-16,1.0000,12,text,,,,,,
ProjRep/000/000/000/001/658,ProjRep/000/000/000/001,658,,10752,dc1ce161e9f8ebc5f6c62a6b46e38f83556a4c3fd5bfac17ffa225a4aff49957,False,,,,binary,,,,,,
ProjRep/000/000/000/001/659,ProjRep/000/000/000/001,659,,213216,2caf9c9ebe10c1ce154ce8187b3018dd96ca1a966ae59b759aa58a1ed64ea5eb,True,utf-8-sig,1.0000,3978,text; uft_script_candidate; contains_object_references; contains_parameter_references; xml_candidate,Browser(,WebList(; Page(; Browser(,DataTable(,,,
ProjRep/000/000/000/001/660,ProjRep/000/000/000/001,660,,720,ea9b5f39774fa1020272eb5246ffdcf507f09a89b540d238a183d8d9c10bc8fd,True,utf-16,1.0000,12,text,,,,,,
ProjRep/000/000/000/001/661,ProjRep/000/000/000/001,661,,10752,907394171641b3e21521c02105b9787176404323e32c0bc728d676064d25ad9f,False,,,,binary,,,,,,
ProjRep/000/000/000/001/668,ProjRep/000/000/000/001,668,,2541,6966d89c33b7d78b0ae9f7b40b29f7187470e0291d9d9bc3cd9a392253b60b8e,False,,,,binary,,,,,,
ProjRep/000/000/000/001/669,ProjRep/000/000/000/001,669,,3638,a4d94825255df267e36e71adb2057acb926f0e823fc02fb3a1b60fd5bee81ede,False,,,,binary,,,,,,
ProjRep/000/000/000/001/670,ProjRep/000/000/000/001,670,,4240,f8a426ede02a5422a4d609b28462f5ff2b05d9f70cd5608ef1c4571a94d50691,False,,,,binary,,,,,,
ProjRep/000/000/000/001/671,ProjRep/000/000/000/001,671,,384,6914294afa2fdc3818abac46e81cd396ef57c803d42900edc01ef9a5e50e134b,True,utf-8-sig,1.0000,25,text,,,,,,
ProjRep/000/000/000/001/677,ProjRep/000/000/000/001,677,,1078,81b3268e8202c4d18aa2b2cfc60ca0cd48c19347568c6ec17cff10dadd452fe1,False,,,,binary,,,,,,
ProjRep/000/000/000/001/678,ProjRep/000/000/000/001,678,,1078,e298de3e12a935b555849f57e002cc8c7916ed4deb55f204a106fd63ca122948,False,,,,binary,,,,,,
ProjRep/000/000/000/001/679,ProjRep/000/000/000/001,679,,1078,852b4ff58e217eb690b1644d096d0a03466b1d8ff7307ebab3a2be06409dab3a,False,,,,binary,,,,,,
ProjRep/000/000/000/001/680,ProjRep/000/000/000/001,680,,1078,ecb5b79f9cfd6f8ab0401991cfc2f8fa957c08565ca4ca329ee08d7287c8c908,False,,,,binary,,,,,,
ProjRep/000/000/000/001/681,ProjRep/000/000/000/001,681,,1078,3314b469518d1efb1dad14973cce4bdac1f1e0dad0b3b223bf06a298f07d526b,False,,,,binary,,,,,,
ProjRep/000/000/000/001/682,ProjRep/000/000/000/001,682,,1078,0eea3d86d6016e48f55aaaa2670e6c87ac25e1201d166056646140d6574d49d9,False,,,,binary,,,,,,
ProjRep/000/000/000/001/683,ProjRep/000/000/000/001,683,,1078,d9a41c0ee8e44d9513aa5f866f8cc6e289b41fddf38c654fad5a757ce375a58e,False,,,,binary,,,,,,
ProjRep/000/000/000/001/684,ProjRep/000/000/000/001,684,,1078,c9851c955e4c3cfee53750eafd6237a9f11f0f2da62ab7e7b5fcee6e4f027a4e,False,,,,binary,,,,,,
ProjRep/000/000/000/001/685,ProjRep/000/000/000/001,685,,1078,50c00dd3cff171ec75c1bc643f1226aeb9e02ef0a7931fd0e91c8559d8633e3f,False,,,,binary,,,,,,
